/*****************spider report ********************/
================= dispatcher:
connect_pool_size:100 connect_used_count:0

================= sites:
site0=>host:movie.douban.com;  dir:movie.douban.com;  hashsize:10000
unscraped_pages:0; scraping_pages:25; scraped_pages:0; parsed_pages:1792
58=>  status:3;  httpStatus:200;  hashCode:1312;  title:;  path:/subject/20395646/;  parent:/
59=>  status:3;  httpStatus:200;  hashCode:1265;  title:;  path:/subject/6549903/;  parent:/
60=>  status:3;  httpStatus:200;  hashCode:1316;  title:;  path:/subject/10759926/;  parent:/
61=>  status:3;  httpStatus:200;  hashCode:1306;  title:;  path:/subject/11523197/;  parent:/
62=>  status:3;  httpStatus:200;  hashCode:1317;  title:;  path:/subject/19971661/;  parent:/
63=>  status:3;  httpStatus:200;  hashCode:1266;  title:;  path:/subject/6985315/;  parent:/
64=>  status:3;  httpStatus:200;  hashCode:1638;  title:;  path:/people/shiqiang/;  parent:/
65=>  status:3;  httpStatus:200;  hashCode:1314;  title:;  path:/subject/11499058/;  parent:/
66=>  status:3;  httpStatus:200;  hashCode:1303;  title:;  path:/subject/10527209/;  parent:/
67=>  status:3;  httpStatus:200;  hashCode:1636;  title:;  path:/people/Fe.douban/;  parent:/
68=>  status:3;  httpStatus:200;  hashCode:1245;  title:;  path:/doulist/968885/;  parent:/
69=>  status:3;  httpStatus:200;  hashCode:1226;  title:;  path:/doulist/127474/;  parent:/
70=>  status:3;  httpStatus:200;  hashCode:1326;  title:;  path:/subject/19962589/;  parent:/
71=>  status:3;  httpStatus:200;  hashCode:1290;  title:;  path:/doulist/1656788/;  parent:/
72=>  status:3;  httpStatus:200;  hashCode:1233;  title:;  path:/people/njst/;  parent:/
73=>  status:3;  httpStatus:200;  hashCode:1280;  title:;  path:/doulist/1690852/;  parent:/
74=>  status:3;  httpStatus:200;  hashCode:1771;  title:;  path:/people/Jerry-feng/;  parent:/
75=>  status:3;  httpStatus:200;  hashCode:1171;  title:;  path:/review/5746914/;  parent:/
76=>  status:3;  httpStatus:200;  hashCode:1172;  title:;  path:/review/5746762/;  parent:/
77=>  status:3;  httpStatus:200;  hashCode:956;  title:;  path:/category/;  parent:/
78=>  status:3;  httpStatus:200;  hashCode:519;  title:;  path:/help/;  parent:/
79=>  status:3;  httpStatus:200;  hashCode:537;  title:;  path:/top250;  parent:/
80=>  status:3;  httpStatus:200;  hashCode:1240;  title:;  path:/subject/4111400/;  parent:/
81=>  status:3;  httpStatus:200;  hashCode:1164;  title:;  path:/review/5744207/;  parent:/
82=>  status:3;  httpStatus:200;  hashCode:2589;  title:;  path:/subject/2363876/photos?type=R;  parent:/subject/2363876/
83=>  status:3;  httpStatus:403;  hashCode:2018;  title:;  path:/subject/2363876/mupload;  parent:/subject/2363876/
84=>  status:3;  httpStatus:200;  hashCode:1210;  title:;  path:/trailer/127943/;  parent:/subject/2363876/
85=>  status:3;  httpStatus:200;  hashCode:1166;  title:;  path:/review/5742409/;  parent:/
86=>  status:3;  httpStatus:200;  hashCode:1939;  title:;  path:/photos/photo/1752924774/;  parent:/subject/2363876/
87=>  status:3;  httpStatus:200;  hashCode:1937;  title:;  path:/photos/photo/1718842933/;  parent:/subject/2363876/
